person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier_test,1,5.251551900000001,25,0,0,0,0,0,3,8,0,0,0,2
javier_test,1,5.3516335,25,0,0,0,5723,10945,43071,71800,4445,25577,36330,148952
javier_test,1,6.187631100000001,0,0,0,0,2423,925,10974,9695,4076,5198,3521,9967
javier_test,1,7.2159449,0,0,0,0,2066,1264,8295,21749,5431,8972,10041,11293
javier_test,1,9.1645075,0,0,38,30,9702,8273,47837,190467,40659,15364,82680,120980
javier_test,1,10.1825236,0,0,21,34,28341,5619,65127,1688577,24085,24819,28513,121641
javier_test,1,11.2141612,0,0,3,38,892,647,6084,204776,2227,11192,4377,25960
javier_test,1,12.136887900000001,0,0,3,29,2541,3933,1636,18866,6693,9824,4854,32802
javier_test,1,13.154267,0,0,10,40,7890,1772,16529,198905,15541,24664,18136,48572
