person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,2,4.627024200000001,54,0,0,0,0,0,0,1,1,0,0,0
silvia,2,5.466951700000003,54,0,0,0,0,0,0,1,0,0,0,1
silvia,2,6.495881000000004,200,0,0,0,0,0,0,1,0,0,0,0
silvia,2,7.491207299999999,200,0,0,0,0,8,1,22,0,0,0,2
silvia,2,8.491450900000004,200,0,0,0,0,9,0,9,1,0,0,1
silvia,2,9.496302900000003,200,0,0,0,55,6185,87,830,69,23,203,171
silvia,2,10.4890988,200,0,0,0,626,206597,742,1271,1480,445,1975,1064
silvia,2,11.485382200000004,200,0,0,0,8346,659876,53053,651915,18184,187889,38433,534813
