person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,5,1.7566676,0,0,35,24,6366,1770,12211,16935,5498,3092,2414,5358
javier,5,2.7412338999999974,0,0,40,17,2372,2728,3401,9322,3222,3634,9266,12896
javier,5,3.7355631000000002,0,0,63,24,1912,4372,10996,5795,5651,1843,9653,11469
javier,5,4.7619907999999995,0,0,37,37,633,432,4407,63065,1611,3287,2829,19683
javier,5,5.762731699999996,0,0,35,34,3676,2482,13289,15908,4051,1516,6675,6437
javier,5,6.7309119999999965,0,0,23,47,2227,704,23177,106387,7716,35433,10663,63358
javier,5,8.756357999999999,0,0,24,51,860,652,5492,87403,2582,16989,1917,30102
