person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,19,1.535335100000026,0,0,80,27,4645,1984,7446,8343,7034,12819,4699,10203
javier,19,2.5395212000000242,0,0,90,20,5097,2809,842,2772,8943,6365,10699,25565
javier,19,3.556155799999999,0,0,93,30,7355,3073,2017,9664,12708,15004,2433,11104
javier,19,4.587539800000002,0,0,83,30,5486,5139,6683,17058,12453,2741,9414,31425
javier,19,5.515868100000006,0,0,80,16,3960,1028,17140,111294,21044,24825,17382,99125
javier,19,6.537119000000018,0,0,74,34,9211,2703,24323,352842,20704,40955,23960,84596
javier,19,7.566170100000022,0,0,54,14,2029,1692,4884,53075,5249,10333,7074,64040
javier,19,8.604703900000004,0,0,44,35,1666,560,3901,66870,3290,11535,4547,12793
