person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,21,1.0452028999999925,0,0,84,44,11309,580,2519,4026,4148,16577,6115,11163
javier,21,2.0346220999999787,0,0,77,51,6724,3339,10541,3145,12821,4833,5442,12101
javier,21,3.0433004999999866,0,0,81,50,14328,3305,4943,31780,19886,14935,4072,21246
javier,21,4.074846399999984,0,0,60,64,5681,2056,21895,88877,11625,20324,28247,19446
javier,21,6.044982699999991,0,0,57,51,5794,2341,5022,3138,5568,13965,7279,29601
javier,21,7.064001300000001,0,0,60,51,6298,2398,4465,3238,11967,6778,3499,7342
