person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,31,1.7540888999999993,0,0,48,69,4175,1405,13000,5627,9917,6389,9787,15113
javier,31,2.7062833000000523,0,0,60,70,3837,1743,1022,4609,6348,12652,8115,19243
javier,31,3.7108778000000484,0,0,63,66,15685,2179,5607,16185,11518,2579,13758,9017
javier,31,4.740972999999997,0,0,53,63,1914,304,3318,32264,1294,6731,4657,6497
javier,31,5.7502276000000165,0,0,54,61,7178,1297,8495,34283,17675,14565,6161,29385
