person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,2,4.8845679,25,0,0,0,40597,61059,131200,897211,63906,89768,147696,881061
silvia,2,5.755583400000003,0,0,0,0,1713,15558,5008,68996,2154,2728,5817,35206
silvia,2,6.6701899000000004,0,0,0,0,517,3547,6542,377174,1683,2223,1057,4090
silvia,2,7.691596499999999,26,0,0,0,2014,3618,56445,1120593,27278,43649,197808,124210

silvia,2,8.724159500000003,0,0,0,0,7456,3385,15813,233905,14722,9133,7392,45965
silvia,2,9.743360300000003,0,0,35,35,4540,3401,11862,242000,7714,15978,8649,89860
silvia,2,11.696955599999999,0,0,29,24,5953,2815,11934,1148738,4050,8303,19689,53768
silvia,2,12.714213099999998,0,0,26,24,1577,4722,7016,1002095,2818,9649,17408,21703
silvia,2,13.733669700000004,0,0,30,37,1970,6043,15686,1749611,4904,16478,14879,19974
