person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,47,1.4872309000000428,0,0,69,70,4467,1154,22219,67761,14769,2797,14993,57772
javier,47,2.43427650000001,0,0,63,77,5491,5603,57529,11999,25786,18181,19015,15188
javier,47,3.4418276000000105,0,0,50,63,2172,1243,4708,173735,4539,11815,4853,41280
javier,47,4.455799400000046,0,0,44,67,3600,5124,13706,8693,5769,5670,9012,14504
javier,47,5.472874200000035,0,0,48,74,6733,2091,12521,41470,8535,8432,31101,8283
javier,47,6.4287963000000445,0,0,57,64,4957,4305,2439,4312,17172,13302,3239,5801
javier,47,7.434684900000036,0,0,74,77,10875,2432,11983,182506,20034,25102,6989,10670
javier,47,8.45652320000005,0,0,69,66,4642,3700,28974,150576,31186,47657,44704,217968
javier,47,9.472332800000004,0,0,60,57,11696,14012,16284,1023948,22680,36159,14689,197767
javier,47,10.416138500000045,0,0,43,64,8122,2557,15416,40395,4291,12314,7772,10973
