person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,43,1.0361151999999834,0,0,96,37,6451,1251,3166,4782,13718,14223,11580,2868
javier,43,2.069685199999981,0,0,100,47,1851,745,8335,133511,9481,5415,15193,19340
javier,43,3.0724133999999594,0,0,100,47,4069,2839,7943,3055,17204,3568,7580,4525
javier,43,4.039169700000002,0,0,93,54,5124,2934,5001,4125,16064,8010,16105,8266
javier,43,5.031454699999983,0,0,90,56,3686,4007,17381,1969,18993,9619,4099,10018
javier,43,6.062767399999984,0,0,97,63,9155,1147,17207,44367,25617,10773,11591,8438
javier,43,7.102204299999983,0,0,78,63,7423,5178,12436,215731,11588,29436,33857,63695
javier,43,9.022366399999953,0,0,75,67,3648,2084,15940,15477,20651,9905,8246,13280
javier,43,10.057415599999956,0,0,64,69,25689,8806,109165,483651,62661,93399,89424,116176

