person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,7,4.855223099999989,25,0,0,0,0,0,0,0,0,0,0,0
silvia,7,4.992838699999993,25,0,0,0,21862,8490,13267,531278,4088,24989,7535,255971
silvia,7,5.842576499999993,0,0,0,0,3343,1089,14003,296048,4977,22063,12688,143153
silvia,7,6.903871999999993,0,0,0,0,4181,1925,12024,1166233,4925,3533,2777,42409
silvia,7,7.807048899999998,0,0,0,0,2660,738,4199,450825,5087,9915,5598,172732
silvia,7,8.820947399999994,0,0,53,50,7673,913,5566,36434,6481,6072,5550,35008


silvia,7,9.8579012,0,0,63,61,4953,2237,23574,427271,11998,6364,10889,79704
silvia,7,10.858400499999988,0,0,77,67,29937,1975,22768,452419,20434,6113,9051,124472
