person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,19,5.048329300000034,25,0,0,0,27844,24702,15452,265164,29784,155624,39025,372027
silvia,19,5.868890700000009,0,0,0,0,30911,28475,17508,279627,18235,20905,9813,99740
silvia,19,6.895319900000004,25,0,0,0,5235,974,3045,280490,2051,2822,1988,15938

silvia,19,7.921797599999991,51,0,0,0,85976,22126,102484,542043,103490,93654,42562,132902
silvia,19,8.870093300000008,51,0,0,0,15942,4623,8978,1176115,28886,2267,26147,28247
silvia,19,9.864393000000007,51,0,0,0,4392,532,18750,577063,14379,15224,13528,45227
silvia,19,10.880617599999994,27,0,0,0,1196,369,1171,1681848,2557,3473,1665,71851
silvia,19,11.981753500000025,25,0,0,0,562,231,11061,284956,3739,2644,13164,29439
silvia,19,12.932943300000034,51,0,0,0,1544,581,5891,1064380,3537,14181,4456,28499
