person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,30,5.675274600000023,25,0,0,0,13334,13995,16920,251919,8888,33841,7975,173374
silvia,30,6.453027500000019,0,0,0,0,36266,11540,3580,14457,56655,10031,8987,16603

silvia,30,7.470108900000014,0,0,0,0,1779,1103,15324,969007,5225,32167,9187,37797
silvia,30,8.503820200000007,0,0,0,0,2573,400,3580,220818,4224,4600,715,42769
silvia,30,9.524667500000021,0,0,34,40,6890,2218,20484,1136208,15703,35315,13060,150951

silvia,30,10.446247099999994,0,0,24,21,9069,4896,15622,1750083,25187,11469,31196,349427
silvia,30,11.463465400000018,0,0,11,26,756,667,5631,145417,1247,10975,1175,30804
silvia,30,12.480959299999995,0,0,7,26,15118,6665,31369,452157,25138,26479,10590,173045
silvia,30,13.512822800000038,0,0,1,10,6182,1665,5216,1143607,7705,18026,9170,267617
