person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,23,5.78380599999997,25,0,0,0,63960,54010,102058,830114,50947,225689,90017,671412
silvia,23,6.566483500000004,0,0,0,0,6990,5804,7394,1005314,3166,13078,9497,20578
silvia,23,7.590947799999981,0,0,0,0,55989,34294,41833,1020571,29190,100399,33970,435299
silvia,23,8.610911799999997,25,0,0,0,2536,1266,4810,222066,3180,5558,1052,19441
silvia,23,9.64642950000001,25,0,0,0,64888,10669,141248,1272244,218497,62478,97069,158711


silvia,23,11.578615500000012,25,0,0,0,11042,2607,42437,118718,11314,132155,18290,131409

silvia,23,12.60726360000001,0,0,0,0,5788,1572,34841,690055,15334,7605,33975,62234

silvia,23,13.703749899999991,0,0,51,47,2673,610,3402,22726,4150,4509,5166,8533
