person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,8,4.853193399999995,25,0,0,0,15237,22454,54867,980589,26401,88201,20188,506129
silvia,8,5.765144499999991,0,0,0,0,6231,8381,14301,895564,19009,23654,20450,85939
silvia,8,6.7269495999999975,0,0,0,0,8439,6752,8157,728675,11299,54696,15574,50667
silvia,8,7.72421709999999,0,0,0,0,15367,5826,70821,130534,14687,8242,6330,52027
silvia,8,8.744249699999997,0,0,56,30,2112,1260,4955,352106,5405,2662,3570,24989
silvia,8,9.761850999999993,0,0,69,44,489,349,5020,67024,2565,5258,986,6659

silvia,8,10.708619999999996,0,0,93,37,8158,1702,2471,239578,12526,6914,5503,28873
silvia,8,11.713945699999996,0,0,75,24,3778,743,6714,40899,6387,5661,6425,77058
silvia,8,12.73674299999999,0,0,38,16,4568,1726,6107,194921,4324,5940,1270,84619
