person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,20,4.485065600000041,25,0,0,0,0,0,0,0,0,0,0,0
silvia,20,4.616152800000009,25,0,0,0,11551,8624,15477,252716,5258,11566,6666,126556
silvia,20,5.454302400000017,0,0,0,0,5589,9496,4444,176933,6645,4346,7565,21077
silvia,20,6.549511800000005,0,0,0,0,1516,469,874,562001,2821,1634,1092,4898
silvia,20,8.425041899999997,0,0,30,35,5022,2290,11937,104818,6572,14988,2748,150023
silvia,20,9.445129100000031,0,0,24,16,2387,1483,4511,962435,4878,7647,4070,93631
silvia,20,10.478066800000022,0,0,35,17,2007,554,1795,364009,2722,670,1573,8965
silvia,20,11.499559099999999,0,0,29,24,25636,23043,40082,1529366,44878,92682,62201,612549

silvia,20,12.41860790000004,0,0,38,11,27348,8256,19320,1085697,51106,24896,15386,461798
