person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,45,1.0835637000000133,0,0,88,40,3960,1523,2182,16340,9669,5043,7771,13404
javier,45,2.065555399999994,0,0,80,44,2323,2187,13680,251281,5807,8868,8010,26855
javier,45,3.063750700000014,0,0,75,41,3380,1124,8280,10125,5587,6913,17601,17314
javier,45,4.061292200000025,0,0,64,41,2681,2603,3891,43963,7434,9718,11011,23981
javier,45,5.066747700000008,0,0,53,51,7895,1148,20569,109908,11405,17855,16301,38378
javier,45,6.043204800000012,0,0,63,53,2500,4941,36287,46863,24249,14409,15410,27362
javier,45,7.078389600000037,0,0,50,48,4000,899,12983,746977,11109,29319,9520,175722
javier,45,8.062543900000037,0,0,47,43,3852,2175,12863,3069319,32225,41787,24691,180049
