person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,21,2.02708819999998,0,0,24,63,874,1533,20846,82956,9227,24210,18330,51917
javier,21,3.0330371000000014,0,0,53,67,1513,723,5999,4081,6888,11640,10813,5039
javier,21,4.042791800000003,0,0,69,56,3258,1102,5985,25325,7902,3434,5928,10533
javier,21,5.021310099999994,0,0,83,54,4665,2010,7508,23901,16720,3535,8618,14522
javier,21,6.01264759999998,0,0,96,43,5922,2648,1837,17407,8699,5215,5109,16854
javier,21,7.012014399999998,0,0,90,34,6755,2529,1997,158166,7500,14906,13485,35397
javier,21,8.010634100000004,0,0,81,30,5093,2035,6589,43365,4537,4534,11376,12027
javier,21,9.009627599999988,0,0,50,37,3414,879,18446,60316,4187,21711,4962,83916
