person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,15,1.5414025000000038,0,0,54,80,2654,2583,5890,11217,9154,5308,2384,15492
javier,15,2.5675019000000248,0,0,70,61,3856,1281,14742,10322,18158,7075,10132,9754
javier,15,3.5340333999999984,0,0,66,60,4673,1654,4936,6337,7979,17797,5933,14526
javier,15,4.538354100000021,0,0,70,53,3048,2594,6503,16294,6831,10109,11004,18619
javier,15,5.565352400000023,0,0,70,63,1513,3186,7661,8797,6333,5939,4676,4958
javier,15,6.556219300000009,0,0,41,51,5093,6671,19646,244415,10565,59713,35689,323746
javier,15,7.553596800000008,0,0,44,34,12970,2371,4041,21476,6735,3476,8357,18175
