person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,18,1.231770599999976,0,0,54,54,3517,2439,18775,102900,8625,17380,24651,27614
javier,18,2.2310020999999836,0,0,60,57,2923,2307,7404,5445,5590,6748,1661,8020
javier,18,3.2291702999999927,0,0,66,60,1806,3486,2790,3831,5910,7363,8809,6074
javier,18,4.227614999999986,0,0,51,44,5880,2646,4126,32782,6002,10243,18457,52638
javier,18,5.226130299999994,0,0,64,41,3499,1649,7392,20446,6455,1505,7820,4317
javier,18,6.228991699999995,0,0,56,26,1303,744,12506,131537,9913,10861,12060,59259
javier,18,7.229329699999994,0,0,47,14,754,583,2815,124471,3529,3923,8199,22422
javier,18,8.229615899999999,0,0,54,37,2131,1213,7024,11047,6323,14988,3847,10433
