person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,38,0.02476760000001832,0,0,77,66,6078,705,6593,16946,5520,3283,6462,2754
javier,38,0.03926780000000463,0,0,66,57,912,1708,7535,219551,3597,6213,4510,34694
javier,38,0.052494899999999234,0,0,43,48,738,990,4411,204635,2808,2820,4941,31792
javier,38,0.06563269999998056,0,0,53,24,3942,1720,9507,562707,11761,5164,34751,11139
javier,38,0.4982262999999989,0,0,63,13,3326,1441,5019,19344,9277,934,9917,1870
javier,38,1.5054938000000107,0,0,77,20,4873,1884,9091,1479,8861,7231,9905,11773
javier,38,2.5072041999999897,0,0,88,47,3511,919,9310,4579,5296,11610,3272,6171
javier,38,3.5041949999999815,0,0,88,50,1737,2303,8598,10323,9333,1406,7224,12466
javier,38,4.50323689999999,0,0,69,61,4884,3845,10943,8151,11909,18323,5179,30887
javier,38,5.501627400000018,0,0,77,61,2083,673,7455,7096,13280,6693,5607,6596
