person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,37,0.023375799999996616,0,0,50,38,1492,3326,22488,109217,17170,14499,19178,23910
javier,37,0.03818490000003294,0,0,70,37,2523,1144,3180,8706,8993,648,6560,7391
javier,37,0.0533240000000319,0,0,51,43,4302,2813,26694,42700,5504,27727,28712,37070
javier,37,0.0675368000000276,0,0,61,37,3112,1712,4663,12217,4646,5156,7552,17373
javier,37,0.08159499999999298,0,0,64,38,3581,1921,4266,12080,7303,8828,3501,6932
javier,37,0.09557860000001028,0,0,43,63,4337,1773,6417,1737,2128,10029,7555,7908
javier,37,0.10623520000001463,0,0,56,64,8674,1559,5094,7430,6098,13138,7616,6116
javier,37,0.11683510000000297,0,0,57,61,9461,5187,5086,31302,7489,4834,6312,27029
javier,37,0.13788260000001173,0,0,53,57,4225,4515,10513,12454,7564,7458,7566,14020
javier,37,1.1439631000000077,0,0,74,47,4647,2041,2241,5402,8873,5342,3631,5131
