person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,31,1.6696782000000212,0,0,50,53,9630,5444,14427,74976,15820,3078,10211,34566
javier,31,2.6870112999999947,0,0,37,48,16164,8207,132605,728465,42594,91227,85320,277537
javier,31,3.6952813000000333,0,0,43,64,4907,7394,7649,41468,9318,28137,5357,5087
javier,31,4.708059000000048,0,0,57,84,6785,2206,2185,1137,13116,19583,9028,11170
javier,31,6.653931300000011,0,0,81,78,5649,3074,2769,71639,6537,6254,17266,8674
javier,31,7.689739300000042,0,0,87,70,4632,4914,13569,8812,14751,20309,9277,6829
javier,31,8.732261700000038,0,0,80,69,3852,1709,20897,76021,15009,19926,8406,56950
javier,31,9.73872160000002,0,0,80,67,5375,2325,5325,5713,12173,2614,5228,3142
