person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,27,1.6309821999999485,0,0,70,56,9189,3023,13186,6024,18455,6304,11429,6559
javier,27,2.5856346999999573,0,0,63,61,5758,1684,84835,203336,12862,41991,36041,144150
javier,27,3.5795165999999767,0,0,75,67,11039,2932,6713,41182,12365,4168,6018,30282
javier,27,4.610592399999973,0,0,60,83,4440,3372,24540,4831,8079,4760,10430,5042
javier,27,5.62375209999999,0,0,47,83,1074,1236,6440,68030,3211,1735,2502,8337
javier,27,7.587812099999951,0,0,47,66,376,207,1101,29116,1072,5386,7764,15630
javier,27,8.599859699999968,0,0,57,50,9507,3217,9029,32622,20137,4744,14075,6861
