person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,10,1.954388900000012,0,0,80,93,6376,2818,18356,123277,7003,31088,8744,14920
silvia,10,2.956027700000007,0,0,81,87,8424,5192,8343,100243,23607,25373,22754,86848
silvia,10,3.9221501000000103,0,0,56,94,8459,3542,19171,294470,9638,32188,26931,48257
silvia,10,4.927819100000008,0,0,54,93,7228,3797,9909,27267,9540,6895,9236,5305
silvia,10,5.931897300000003,0,0,69,84,14135,7530,15814,42235,22530,13243,10159,10848
silvia,10,6.973477800000012,0,0,51,81,850,752,7266,113181,1853,2631,2062,56610
silvia,10,7.988610300000005,0,0,61,69,1273,800,2136,164191,9027,5678,11244,21463
silvia,10,8.907182200000008,0,0,51,64,6171,1676,5712,312332,5053,10123,11459,18950
silvia,10,9.925978700000002,0,0,30,64,1272,2724,4463,232192,2780,12699,7688,17766
silvia,10,10.959516800000003,0,0,26,77,274,176,3163,106777,846,17399,1991,37344
