person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,15,1.6269901000000004,0,0,64,20,3615,1656,4426,12314,11840,1082,2481,19131
javier,15,2.6569819000000052,0,0,74,27,8774,3255,5427,7109,7223,3580,12848,10489
javier,15,3.6088020999999912,0,0,61,23,6796,1420,5898,36123,8506,30341,16704,77211
javier,15,4.6285383999999965,0,0,60,8,6688,2447,28716,923519,14155,21563,14061,231068
javier,15,5.644047599999993,0,0,43,13,3728,1237,13569,42432,6291,2143,22935,46157
javier,15,6.657987999999989,0,0,37,23,16371,2862,13958,85178,11760,15825,6361,29221
javier,15,7.607488600000011,0,0,47,47,3709,1327,11545,3649,4650,10135,3521,2166
