person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,35,0.20422580000001744,0,0,64,60,4354,1200,1345,2910,6524,8470,12367,12846
javier,35,1.2079530000000318,0,0,74,63,3936,2995,5229,8918,6144,10576,7119,9261
javier,35,2.1718460000000164,0,0,81,67,2485,2800,4163,2797,7283,10826,4743,6327
javier,35,3.180570400000022,0,0,83,66,3039,3169,1949,3065,10037,13242,5562,11571
javier,35,4.1919602000000395,0,0,84,69,3504,2122,3885,12278,6388,4823,3833,10581
javier,35,5.207783100000029,0,0,94,63,2965,2004,3796,6673,9425,6024,11294,4220
javier,35,6.1926153,0,0,97,44,3657,3158,841,4201,14129,6803,10054,17157
javier,35,7.193915000000004,0,0,97,27,7441,9393,1988,10500,11655,3149,3221,24582
javier,35,8.19397250000003,0,0,83,34,1602,608,4256,124935,2672,17510,6792,23552
javier,35,9.196380200000021,0,0,67,47,4386,1843,12282,6949,6474,21547,6414,14742
