person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,46,0.08763419999996813,0,0,50,47,2592,1267,9133,22134,6149,15295,8610,12390
javier,46,1.040898900000002,0,0,64,38,3503,1431,6724,5432,10620,6140,10166,5793
javier,46,2.059642800000006,0,0,75,44,1725,2725,2871,67509,13479,9630,3848,34078
javier,46,3.047744399999999,0,0,91,41,3987,1830,1997,5905,13237,7864,17793,10376
javier,46,4.0489407999999685,0,0,91,38,351,208,2526,56530,1959,3166,1082,6731
javier,46,5.046875300000011,0,0,77,48,6395,3057,3511,4459,4592,27063,5876,13470
javier,46,6.0468781999999806,0,0,75,35,2597,892,366,210327,2752,507,1694,8938
javier,46,7.076591000000008,0,0,50,34,2476,2654,7661,147951,4955,13727,9405,87878
javier,46,8.04726199999999,0,0,67,23,2830,2533,3243,19128,30542,7695,11829,4499
javier,46,9.052503000000002,0,0,64,20,1864,590,6506,124525,1584,4134,1560,7408
