person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,36,1.0017275000000154,0,0,57,80,1991,1570,7023,6492,10371,5929,4906,10858
javier,36,2.004915799999992,0,0,67,80,1573,733,9397,9899,5561,4252,4650,13530
javier,36,3.002980500000035,0,0,84,69,4059,2087,5866,5586,8936,3841,6662,609
javier,36,4.008402000000046,0,0,94,69,3989,2929,16688,4154,20642,15571,7340,16774
javier,36,5.0118109,0,0,80,87,2765,1709,10265,12255,6422,55645,5873,13460
javier,36,6.015100399999994,0,0,80,78,183,183,1201,85580,938,627,1814,3637
javier,36,7.016283600000008,0,0,61,75,5266,3261,5124,103508,14601,40577,10269,74387
javier,36,8.018175400000018,0,0,47,77,4535,1977,11307,7279,3217,10454,2674,16455
javier,36,8.99921820000003,0,0,54,63,3564,3689,11757,143823,22070,54668,18742,43131
javier,36,10.013131200000032,0,0,63,69,2743,4006,11452,9994,19640,12278,6295,13829
