person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,22,1.5292021000000204,0,0,61,67,3707,1597,11910,9706,11149,4780,8840,18512
javier,22,2.5264352000000088,0,0,67,70,3154,1597,2165,5863,7837,21587,6025,4515
javier,22,3.5205133999999987,0,0,67,48,3510,1140,5873,71678,5190,4604,8834,78550
javier,22,5.5174637000000075,0,0,77,57,6530,1228,14867,167635,7336,10833,8686,21152
javier,22,6.514263900000003,0,0,75,53,3936,2188,18771,21011,9335,6361,10528,11415
javier,22,7.5140129000000115,0,0,93,75,2114,1553,6162,128977,14344,22237,14976,6871
