person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,43,4.673174499999959,54,0,0,0,0,1,0,1,0,0,0,1
silvia,43,5.54543799999999,54,0,0,0,0,0,0,0,0,1,0,1
silvia,43,7.563532099999975,200,0,0,0,1,2,0,22,1,0,1,2
silvia,43,8.534731400000055,200,0,0,0,205,6810,155,3599,211,187,153,651
silvia,43,9.566714400000023,200,0,0,0,1703,105769,1780,70026,4086,1051,1831,38003
silvia,43,11.561380600000007,200,0,0,0,5786,116155,47143,891539,11936,94947,20777,381655
silvia,43,12.537567800000033,200,0,0,0,151,15191,2230,95880,1484,2173,768,15728
silvia,43,13.54827309999996,200,0,0,0,7303,96568,50261,1396976,14324,81705,21627,223758
