person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,20,4.7671741999999995,54,0,0,0,0,0,0,0,0,0,0,0
silvia,20,6.642369200000019,200,0,0,0,0,0,0,0,0,0,0,0
silvia,20,7.64595700000001,200,0,0,0,0,0,0,25,0,0,1,1
silvia,20,8.645144500000015,200,0,0,0,12,345,4,332,4,29,15,29
silvia,20,9.64935220000001,200,0,0,0,888,55423,156,4845,818,135,945,1973
silvia,20,10.648148700000036,200,0,0,0,550,82454,8420,427363,4078,15718,3094,70880
silvia,20,11.639554500000031,200,0,0,0,148,15709,5083,489926,514,5385,1669,8856
silvia,20,12.6703938,200,0,0,0,140,14412,5966,201230,953,1946,552,15391
