person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,16,4.754217100000005,54,0,0,0,0,0,0,0,0,0,0,0
silvia,16,6.585747800000007,200,0,0,0,0,0,0,0,0,0,0,0
silvia,16,7.600607500000024,200,0,0,0,0,38,0,41,0,1,0,1
silvia,16,8.581842100000017,200,0,0,0,60,6817,84,1980,54,44,90,133
silvia,16,9.6203529,200,0,0,0,490,22007,456,33580,1040,2297,1093,18313
silvia,16,10.591906100000017,200,0,0,0,2513,477369,92953,950933,49210,134957,9961,331280
silvia,16,11.60204920000001,200,0,0,0,2123,275223,13639,1161724,18703,57009,18600,328905
