person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,24,4.645753599999978,54,0,0,0,0,0,0,0,0,0,0,1
silvia,24,6.4794557999999824,200,0,0,0,0,0,0,1,0,0,0,0
silvia,24,7.490998900000022,200,0,0,0,0,1,1,20,1,0,0,0
silvia,24,8.49918630000002,200,0,0,0,18,992,29,1374,26,42,16,99
silvia,24,9.502818900000022,200,0,0,0,900,166021,418,2153,1979,772,947,1005
silvia,24,10.483064200000001,200,0,0,0,1644,161183,38624,1504448,6699,10519,7928,181074
silvia,24,11.485589500000003,200,0,0,0,850,43313,16006,126038,4048,29013,3444,47438
silvia,24,12.49714449999999,200,0,0,0,722,75410,27079,221164,2663,3701,2597,38812
silvia,24,13.476272400000028,200,0,0,0,1439,61315,10064,2495346,11287,21192,4573,86528
