person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,6,4.507809499999993,54,0,0,0,0,0,0,1,1,0,0,1
silvia,6,5.323715199999995,54,0,0,0,0,0,0,1,0,0,0,0
silvia,6,6.351079900000002,200,0,0,0,0,0,0,0,0,0,0,0
silvia,6,7.344800199999995,200,0,0,0,0,0,0,15,1,2,1,5
silvia,6,8.340421199999994,200,0,0,0,0,1,1,12,1,0,0,0
silvia,6,9.353922499999996,200,0,0,0,16,2054,98,861,17,77,66,121
silvia,6,10.380337100000006,200,0,0,0,507,94365,517,2216,451,1500,457,1459
silvia,6,11.344873699999994,200,0,0,0,1122,114076,6985,334156,3855,28456,1372,41722
silvia,6,12.342052499999994,200,0,0,0,580,17914,1121,402052,2029,1828,178,7742
silvia,6,13.341927400000003,200,0,0,0,5048,362136,26158,837025,90216,39294,6267,261958
