person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,13,5.733954899999986,25,0,0,0,36808,93809,163554,1607751,38437,462121,167671,1070575
silvia,13,6.574139699999989,0,0,0,0,14318,22016,16085,380769,6556,10246,13511,117839
silvia,13,8.510604299999983,0,0,0,0,1721,813,2237,165511,3120,4708,2147,21826

silvia,13,9.528482999999994,0,0,51,54,2908,598,4835,647747,9082,5698,1494,17423
silvia,13,10.545947599999977,0,0,64,60,926,663,3612,40996,7018,4036,4935,16274
silvia,13,11.587317899999988,25,0,64,60,3106,1712,6430,773566,15414,11099,19106,64586
silvia,13,12.521226199999973,26,0,64,60,2286,534,3617,448084,7056,4331,7414,6658


silvia,13,13.523718599999995,26,0,64,60,2333,1324,4389,238268,8108,1896,3455,24711

