person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,11,5.014215100000001,25,0,0,0,20104,12613,21173,1919671,93089,41815,88490,935570
silvia,11,5.813015200000024,0,0,0,0,2724,1575,20650,257363,12053,13630,18275,62045
silvia,11,7.817922100000004,51,0,0,0,3443,1073,11194,2011882,9545,2525,8218,35226
silvia,11,8.820874500000002,25,0,0,0,240,106,2565,29850,585,5840,976,20965
silvia,11,9.796472600000016,0,0,0,0,3236,886,8865,223022,8651,21074,10733,46943


silvia,11,11.863494000000003,25,0,41,47,1767,242,1898,201851,2618,10163,6853,6931

silvia,11,12.816779600000018,0,0,64,67,5130,3077,17309,516071,23586,29604,21949,27762
