person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,14,4.815365799999995,25,0,0,0,11184,4615,36739,1337033,51473,44565,27499,258058
silvia,14,5.622314100000011,0,0,0,0,10673,3574,40670,1266842,56335,21222,33675,40152
silvia,14,6.634765399999992,25,0,0,0,9666,6203,109018,1866205,41578,75569,95894,414088
silvia,14,7.651565599999998,0,0,0,0,1246,606,5922,247465,8040,8696,20704,39658
silvia,14,8.685228800000004,0,0,0,0,1545,488,4677,197371,2566,12131,3239,34876

silvia,14,9.625164100000006,0,0,48,30,3027,2086,3004,736672,12230,2741,5780,25575
silvia,14,10.63181130000001,26,0,48,30,15921,11575,17259,215019,16702,18095,15471,69427

silvia,14,11.7664403,51,0,48,30,21432,17141,7841,1582404,41922,4819,29762,206018
