person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,3,2.0048195999999976,0,0,87,57,2382,1751,973,6865,8892,11379,3953,12452
javier,3,3.0399322000000026,0,0,78,63,7593,2450,17126,4715,8995,8418,23972,9078
javier,3,3.9680171999999985,0,0,70,54,1717,557,2788,60708,2211,4199,9110,13275
javier,3,4.9727894000000035,0,0,78,51,3651,3525,7294,26996,11063,9193,11316,15411
javier,3,6.020376200000001,0,0,70,67,7795,2773,9660,67955,9768,34385,11005,11373
javier,3,7.968878500000002,0,0,53,44,11775,2334,6545,1617985,16608,42251,22771,163881
