person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,6,4.819424299999994,25,0,0,0,14183,52301,70431,1569343,46763,151230,51371,851148
silvia,6,5.6475149999999985,0,0,0,0,5234,7542,44374,81281,26956,2142,5817,50381
silvia,6,6.6624716000000035,0,0,0,0,2703,1078,5428,349191,8513,9136,21516,77004
silvia,6,8.611216299999995,0,0,37,51,5162,10445,52752,2158740,19480,65066,27655,135700
silvia,6,9.639513399999998,0,0,38,57,262,155,581,19578,722,1708,710,4337
silvia,6,10.657416499999997,0,0,27,53,950,392,4464,602515,1529,3182,14765,26151


silvia,6,11.612547399999997,0,0,21,50,1421,797,7660,686325,7854,21264,3130,150872

silvia,6,12.6304758,0,0,17,44,17873,7875,89838,968701,36073,77564,4073,380359
