person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,15,4.7166356999999834,25,0,0,0,10143,16855,32402,538927,6628,100007,31563,271110

silvia,15,5.5309259,0,0,0,0,1132,1408,5501,860976,9528,2668,3488,69582
silvia,15,6.533212999999989,0,0,0,0,4240,1722,2099,74419,4142,30717,3681,64198
silvia,15,7.5718413999999825,0,0,0,0,10862,3714,15191,1347311,30182,43459,39132,87984

silvia,15,8.504071199999998,0,0,34,47,3577,1200,8586,1176115,4891,14666,6280,59606

silvia,15,10.539469499999996,0,0,29,51,4812,2099,4900,806639,11995,13647,4230,123454
silvia,15,11.540841499999999,0,0,20,67,2312,395,2733,301951,2401,21573,3192,33478
silvia,15,12.513044399999984,0,0,35,74,3805,4695,5889,44389,12338,25099,2781,49781
