person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,4,4.4532443000000015,25,0,0,0,0,0,0,0,0,0,0,0

silvia,4,4.581170299999997,25,0,0,0,18054,20364,37317,803193,14074,112794,26294,489381
silvia,4,5.444395399999998,0,0,0,0,2656,835,4251,35524,2216,10725,3834,14407
silvia,4,6.484990099999997,51,0,0,0,166077,118919,223859,1443709,537956,123112,210123,842595
silvia,4,7.5034953999999985,51,0,0,0,88175,60675,108470,795785,70192,56221,89263,285809
silvia,4,8.5187526,51,0,0,0,26213,20145,10979,2149860,26760,9170,10926,44462
silvia,4,9.4474095,51,0,0,0,23371,25409,91629,833915,44179,94465,67240,845176
silvia,4,10.475143599999996,51,0,0,0,233175,54888,87714,1785068,306309,124628,248053,190396
silvia,4,11.496255900000001,51,0,0,0,26176,11176,32154,1621364,68670,53522,101393,85895
