person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,30,4.616237399999989,54,0,0,0,0,0,0,0,0,0,0,0
silvia,30,5.45178020000003,54,0,0,0,0,0,0,1,0,0,0,1
silvia,30,6.450800200000003,200,0,0,0,0,0,0,0,0,0,0,0
silvia,30,7.442872599999987,200,0,0,0,0,1,0,24,1,0,0,0
silvia,30,8.441924400000005,200,0,0,0,58,1800,60,2236,20,5,21,242
silvia,30,9.454692800000032,200,0,0,0,2385,84411,1294,3160,2138,1705,2774,2417
silvia,30,10.435186600000009,200,0,0,0,810,50654,17156,237821,1425,6301,4987,37866
silvia,30,11.442581000000018,200,0,0,0,1765,119227,63502,998550,7977,41150,17020,166327
silvia,30,12.450421500000004,200,0,0,0,1714,211909,48157,1239955,11474,69265,10574,206204
silvia,30,13.446214499999996,200,0,0,0,938,48855,21537,230531,4679,41746,2269,40728
