person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,35,0.022523199999966437,0,0,63,57,4812,1454,8072,12871,4809,2392,23050,13514
javier,35,0.03591000000000122,0,0,60,43,1192,1090,1639,53615,5496,1562,3990,12754
javier,35,0.2949528999999984,0,0,54,50,6380,3039,8802,11851,6815,9169,9036,11612
javier,35,1.3254256999999825,0,0,69,51,2423,1813,10964,4173,24194,4338,6899,5041
javier,35,2.3461487999999804,0,0,81,56,7393,4210,9138,2040,24862,11060,3787,12408
javier,35,3.3578730999999493,0,0,77,56,5269,1764,4503,3058,5769,1609,10175,22124
javier,35,4.3892562999999996,0,0,83,53,4932,842,10729,22295,14080,4532,5567,14111
javier,35,5.314069399999994,0,0,53,67,6545,2885,64549,215436,7082,75480,9312,58882
javier,35,6.327972599999953,0,0,47,78,5305,2174,15514,4619,8979,9335,10001,2030
javier,35,7.360273199999995,0,0,51,84,3496,2735,2325,6891,11165,9068,8802,18033
