person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,12,4.652974300000011,25,0,0,0,57344,96917,183468,893279,118041,344545,304088,1455465


silvia,12,5.470701200000008,0,0,0,0,49149,23056,17939,2076237,65624,212340,85640,125371
silvia,12,6.478398100000021,0,0,0,0,12744,2605,6983,717720,10895,40411,32664,74615
silvia,12,7.499589900000018,26,0,0,0,1098,570,3773,222560,1658,6623,1991,25822
silvia,12,8.54705370000002,0,0,0,0,4821,3095,17932,276399,9010,21836,15052,125471
silvia,12,9.46493700000002,0,0,51,47,2660,318,2963,166294,4060,7840,4609,9120
silvia,12,10.45378150000002,0,0,67,37,2609,1590,2263,192386,7641,5565,6929,20928
silvia,12,11.490614700000009,0,0,91,50,32742,6262,108114,1723584,85492,42949,48293,45649
silvia,12,12.512359600000025,0,0,100,34,825,621,1201,105021,5180,769,557,7609
