person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,36,0.02232680000003029,0,0,69,66,6541,2360,19569,53327,10579,30240,42532,36566
javier,36,0.03543419999999742,0,0,74,66,3002,2408,20468,9538,11018,10440,2679,15401
javier,36,0.7162892000000056,0,0,66,66,3334,2512,35495,2961,5458,3515,2140,10369
javier,36,1.7341350000000375,0,0,57,80,6183,1505,18123,16887,7191,17396,9109,6034
javier,36,2.7839502000000493,0,0,70,77,4580,4010,6780,7970,9586,5913,15620,4023
javier,36,3.7209331000000248,0,0,77,63,3773,1557,9225,7776,10907,3695,13215,11944
javier,36,4.732041700000025,0,0,91,47,1453,958,3559,63171,3856,1311,6972,2431
javier,36,5.7460870000000455,0,0,91,34,3332,5245,11002,15909,7622,9984,4722,27346
javier,36,6.775727500000016,0,0,70,43,390,324,5283,171699,746,2353,1179,4921
javier,36,7.791012300000034,0,0,66,43,3653,3699,10232,9023,13861,5458,3632,34434
