person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,22,1.8202742999999941,0,0,96,40,6673,1958,4295,7313,20331,12951,27088,6969
javier,22,3.803030100000001,0,0,88,66,8688,2486,52774,15413,21731,15495,9716,6557
javier,22,4.808647800000017,0,0,69,61,1740,456,6221,89210,3935,20595,4397,39208
javier,22,5.847396099999997,0,0,64,64,5011,2404,4451,170907,13200,9202,10367,10447
javier,22,6.7799538000000155,0,0,77,53,5284,1061,7250,8238,6062,1702,10663,3603
javier,22,7.786805500000014,0,0,77,37,7677,3797,2985,4823,12522,12666,3420,26516
