person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,4,0.033903799999997375,0,0,66,70,1610,593,6518,48907,2849,472,2778,8456
javier,4,0.048662100000001374,0,0,61,78,2206,569,4537,81219,8134,26310,8506,27022
javier,4,0.940443799999997,0,0,56,87,5275,1548,14994,14703,4738,5761,3473,16461
javier,4,1.9548757000000023,0,0,60,78,10744,1975,8778,3537,3739,1460,5055,17039
javier,4,2.9681519000000023,0,0,75,56,6565,2990,3446,50321,26286,3615,15691,17227
javier,4,3.920923799999997,0,0,56,44,14934,3525,51974,262934,6910,63675,65902,302282
javier,4,4.9126183999999995,0,0,47,37,9575,5095,20256,61398,13952,103099,50666,209243
javier,4,5.930174200000003,0,0,48,38,12046,7112,33593,369721,25760,29585,24540,93571
javier,4,6.969187699999999,0,0,21,54,2096,1331,4893,134763,1644,4948,5495,17559
javier,4,7.924962800000003,0,0,48,57,7800,1212,3035,4190,8539,11533,13334,14959
