person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,32,0.03026710000000321,0,0,48,54,1898,658,8271,121334,3160,1611,2034,20360
javier,32,0.08955929999996215,0,0,54,77,3353,833,3125,5979,7197,42211,6300,10841
javier,32,2.05891749999995,0,0,63,51,5090,4826,2074,5195,9986,3847,9712,9276
javier,32,3.073649899999964,0,0,64,44,5715,2999,7509,486140,9468,12951,17879,48763
javier,32,4.073487199999988,0,0,66,29,6863,4175,18609,129698,18880,42583,30320,63394
javier,32,5.088865799999951,0,0,54,43,4699,5383,84203,193918,29204,72484,69008,56668
javier,32,6.0533869999999865,0,0,29,43,5301,2159,13401,68231,6767,18808,23629,128738
javier,32,7.06876729999999,0,0,20,51,465,200,1738,66144,1020,5479,1258,12780
javier,32,8.071539199999961,0,0,23,41,992,649,6879,95827,8222,3826,5811,31723
