person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,45,2.113059000000021,0,0,70,74,6920,2564,4891,3535,9624,20802,6200,6921
javier,45,3.1595158000000083,0,0,83,67,9194,2366,2974,5890,12032,6246,5352,3424
javier,45,4.115060099999994,0,0,78,70,2056,1268,2131,69053,1513,1264,881,3413
javier,45,5.104139700000019,0,0,61,75,4473,1911,10418,117581,16510,27388,31819,64358
javier,45,6.139369400000021,0,0,69,64,2582,4641,9617,31830,22705,7350,8717,14878
javier,45,7.154832800000008,0,0,63,64,5614,3685,20516,7381,18037,6558,21256,18640
