person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,4,2.3803343999999953,0,0,26,11,3599,1505,8854,4518,5280,6576,8817,4618
javier,4,3.374548599999997,0,0,53,16,5383,2114,3161,8007,4904,4279,15172,6843
javier,4,4.3724779,0,0,23,26,3288,3437,17227,61484,7796,17676,27870,69562
javier,4,5.370384699999995,0,0,23,41,4586,2966,31582,26424,15531,72957,34606,71504
javier,4,6.362947999999996,0,0,10,34,4613,3024,16267,123545,7311,10884,8410,43132
javier,4,7.372726199999995,0,0,1,38,2052,2035,6704,77652,7766,17819,16227,31170
javier,4,8.374423,0,0,1,35,604,798,6046,185840,3423,15917,2376,72121
