person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier_test,2,1.4601717,0,0,41,88,1335,515,2219,108283,2806,3274,1239,15905
javier_test,2,2.4576507999999997,0,0,43,91,5777,2620,9201,8876,15995,18062,3476,18778
javier_test,2,4.457093699999998,0,0,29,75,810,747,3773,46193,3282,19267,6449,32628
javier_test,2,5.460841899999998,0,0,34,96,7609,5267,21727,31738,8569,9319,12333,15692
javier_test,2,6.473550699999997,0,0,27,96,6676,2635,24804,55959,8618,21331,27301,11312
javier_test,2,7.480782299999998,0,0,17,97,1762,565,3559,278621,4473,13245,4597,63157
javier_test,2,8.494729699999997,0,0,34,97,7689,2319,5392,2304,10565,8070,4627,5210
