person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,1,5.578437600000001,25,0,0,0,3356,7587,13806,356164,3350,30386,3980,108731
silvia,1,6.364476199999999,0,0,0,0,7510,6410,11231,1064429,6953,19302,26308,69366
silvia,1,7.384301000000001,0,0,0,0,5900,1474,4845,301380,12062,4264,4742,121451
silvia,1,8.4041764,0,0,0,0,1431,674,2207,307456,2639,13904,9855,26977
silvia,1,9.4522081,0,0,47,41,3251,840,3228,176873,2276,1246,2786,22553
silvia,1,10.390960099999997,0,0,43,53,33836,24260,38571,1733584,41512,162903,49809,447580
silvia,1,11.374349599999999,0,0,56,57,70775,53026,75015,1615270,101077,161566,108036,884724
silvia,1,12.401088099999999,0,0,38,70,5192,9453,6023,1177992,7421,97227,18572,178652
silvia,1,13.432016399999998,0,0,34,80,2941,5722,8151,435886,7659,33179,5535,104594
silvia,1,14.3784365,0,0,38,63,17006,32772,40994,1788674,32749,4199,64223,599898
