person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,44,4.885634800000048,25,0,0,0,3715,6891,17284,685614,7117,29275,12950,338328
silvia,44,5.734120500000017,0,0,0,0,4677,5430,3971,157455,5724,4682,7485,34106
silvia,44,6.773928700000056,0,0,0,0,18019,24282,41706,1467975,23503,15485,49335,186687
silvia,44,7.7759395000000495,0,0,0,0,3753,2817,4271,446454,4295,9952,2191,12401
silvia,44,8.727208399999995,0,0,30,34,3477,1043,1966,762084,3801,12834,4171,62707
silvia,44,9.73336340000003,0,0,53,34,44021,31595,151251,1972514,137895,53784,185558,301982
silvia,44,10.771612900000036,0,0,43,14,10995,2730,10632,311272,11367,17855,33733,220394
silvia,44,11.770116499999972,0,0,30,16,1825,1357,979,95077,2821,18056,6213,52390
silvia,44,12.765096200000016,0,0,37,37,33750,14368,88778,1480516,16459,56915,40841,141039
