person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,26,4.987007800000015,25,0,0,0,0,0,0,3,0,0,0,1
silvia,26,5.117245500000024,25,0,0,0,15173,36262,76067,419070,16166,135397,22634,198358
silvia,26,5.903927100000033,0,0,0,0,32692,1961,8906,322490,17719,3042,21416,14321
silvia,26,6.936237399999982,0,0,0,0,9607,4830,31931,367605,11729,10354,23072,97426
silvia,26,8.884720800000025,0,0,47,53,6461,6922,13634,8937,12041,6287,17543,18648
silvia,26,9.944396100000006,0,0,47,77,2863,1964,12007,388550,4981,7541,5857,12498
silvia,26,10.933055200000013,0,0,47,94,19480,3312,22093,68736,9968,7633,7267,35822
silvia,26,11.920350100000007,0,0,48,100,14743,2452,14960,15411,7678,25684,8688,14241
silvia,26,12.874963100000002,0,0,54,100,8085,4471,6298,8160,14171,3374,3042,8191
silvia,26,13.892269699999986,0,0,67,88,6657,5394,3454,3681,21200,10630,7874,13300
