person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,45,4.617470400000002,25,0,0,0,0,0,0,0,0,0,0,0

silvia,45,4.749220600000058,25,0,0,0,9687,18861,20411,294160,13216,57806,22509,699260
silvia,45,5.620565000000056,0,0,0,0,39783,6378,5732,260794,18855,38367,57093,99205
silvia,45,6.637554200000068,0,0,0,0,7646,1211,79511,1303540,5624,75202,14676,83227



silvia,45,8.597263100000077,0,0,51,44,49224,12927,126355,984100,86102,69960,60165,91175
silvia,45,9.615635699999984,0,0,61,44,18348,10165,53574,1968442,30385,31109,52807,81216
silvia,45,10.631468100000006,0,0,60,50,7464,2854,11782,405969,5516,38841,7130,60152
silvia,45,11.650534900000025,0,0,67,53,7098,2607,21745,195483,14203,17380,4826,42104
