person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,42,4.753277799999978,54,0,0,0,0,0,0,0,0,0,0,0
silvia,42,5.596380499999896,54,0,0,0,1,0,0,1,0,0,0,1
silvia,42,7.522902599999952,200,0,0,0,0,1,0,21,1,0,0,1
silvia,42,8.555536299999972,25,0,0,0,75658,60687,4076,323962,62212,6310,8491,92254
silvia,42,9.587352499999952,25,0,0,0,0,0,0,1,0,0,0,0


silvia,42,10.525980199999935,51,0,0,0,13655,4134,41059,362997,35081,16991,36507,166724
silvia,42,11.510693799999899,26,0,0,0,3518,4045,8698,652634,4953,5298,10905,19240
silvia,42,12.53369639999994,0,0,0,0,351,213,2725,54181,840,947,2039,6623
