person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,9,4.5000683000000095,25,0,0,0,0,0,0,0,0,0,0,0
silvia,9,4.639100600000006,25,0,0,0,19173,10359,53543,1371782,19654,47524,43337,295699
silvia,9,5.486369400000001,0,0,0,0,17450,14147,23459,1654054,20485,19212,23047,99627
silvia,9,6.502589600000022,0,0,0,0,566,1269,1449,180360,1843,3407,4632,8928
silvia,9,7.442037999999997,0,0,0,0,1612,3684,4606,1213215,8220,16130,4658,112376
silvia,9,8.450677299999995,0,0,35,51,2936,4868,12985,940293,8342,24065,11559,85388
silvia,9,9.482451800000007,0,0,47,75,5598,5369,29412,1492840,10600,21978,9041,30136
silvia,9,10.528798000000023,0,0,64,56,9564,1350,4365,278631,8573,2666,21869,40929
silvia,9,11.533853600000015,0,0,78,69,7720,2932,3043,74129,2479,4737,5272,8449
silvia,9,12.458270800000008,0,0,100,50,4869,2094,2168,156010,7546,2110,2892,13327
