person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,21,4.82367099999999,25,0,0,0,8240,15395,39151,96828,38877,39589,21222,79410
silvia,21,5.670217100000002,0,0,0,0,4847,1402,7104,50303,6578,8081,1572,32738
silvia,21,6.694806099999994,0,0,0,0,2905,2267,10754,238169,5868,27836,6099,9553
silvia,21,7.713118800000018,0,0,0,0,6451,9416,106298,74815,20160,42285,26595,45898
silvia,21,9.665696400000002,0,0,44,34,6530,6995,21317,18674,9951,14125,4292,28082
silvia,21,10.68332479999998,0,0,67,35,4292,6626,7956,6339,13215,17359,4170,15299
silvia,21,11.74106439999997,0,0,91,26,11660,9916,15238,108387,31897,26252,20677,64973
