person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,18,18.45091560000003,25,0,0,0,0,0,0,0,0,0,0,0
silvia,18,18.55089940000005,25,0,0,0,8133,59287,42243,530304,82638,233127,41090,194295
silvia,18,19.359320000000025,0,0,0,0,19685,11447,5180,22079,5754,16133,13517,22102
silvia,18,20.3735724,0,0,0,0,2353,2556,1776,1770784,7698,30097,11902,104120
silvia,18,21.30300600000004,0,0,0,0,7593,11251,44475,73028,12517,102720,17927,45219
silvia,18,22.327884700000027,0,0,43,37,2358,2469,5647,85951,2308,2750,2058,17187
silvia,18,23.37824440000003,0,0,44,27,22751,6434,84717,275641,33200,14973,64586,353296
silvia,18,24.368893300000025,0,0,56,20,13607,9900,16534,414177,35484,51687,56265,180369
silvia,18,25.301070500000037,0,0,77,26,29271,6983,42380,544901,33711,92830,28133,74514
silvia,18,26.31676580000004,0,0,94,27,26010,10137,20116,248896,23913,17525,13972,50462
