person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,22,2.378769800000015,0,0,81,37,5995,2118,4572,14039,9411,4414,5395,18888
javier,22,3.3622027000000116,0,0,74,40,17699,1233,11091,149654,16223,28340,6642,40719
javier,22,4.402893900000009,0,0,64,26,1231,564,1519,251125,3470,3761,4316,14771
javier,22,5.410545600000006,0,0,61,40,3084,3663,8445,2663,9873,6059,5164,6695
javier,22,6.367859500000009,0,0,54,57,7619,3463,2778,5982,6295,19942,2909,14076
javier,22,7.371328300000016,0,0,61,66,6212,1951,1094,4872,8323,14570,3294,3091
